parameter,mean,sd,rhat,ess_bulk,ess_tail,mcse_mean,model_group,rhat_pass,bulk_ess_pass,tail_ess_pass
own_lag1__EUA_ret,-0.03700481432932528,0.07672012733142518,1.0000389603391004,29382.800267948744,27980.55300214042,4.4760614319954415e-4,BVAR-HOMOSKEDASTIC-final,TRUE,TRUE,TRUE
own_lag1__TTF_ret,-0.0243170561547621,0.07546103458883324,0.9999558135029921,28742.30221686207,27930.47189301294,4.451050262815726e-4,BVAR-HOMOSKEDASTIC-final,TRUE,TRUE,TRUE
own_lag1__Brent_ret,0.08749050685333593,0.08269508105023182,1.0000837154454985,23483.60178777233,28391.87516269321,5.39444381269058e-4,BVAR-HOMOSKEDASTIC-final,TRUE,TRUE,TRUE
own_lag1__Power_ret,0.32866934400774356,0.08478249828964426,1.0001597456677604,11380.161498092662,12437.966304056734,8.002070076043497e-4,BVAR-HOMOSKEDASTIC-final,TRUE,TRUE,TRUE
own_lag1__CPI_yoy_change,0.13506717048325734,0.15834324624786378,0.9999814356397334,18228.394603975892,22056.05755562637,0.001189092191099702,BVAR-HOMOSKEDASTIC-final,TRUE,TRUE,TRUE
own_lag1__IP_growth,0.0294985544344597,0.0760363816105594,1.0000686822504332,24224.07855684297,26405.31440370714,4.890802052137202e-4,BVAR-HOMOSKEDASTIC-final,TRUE,TRUE,TRUE
own_lag1__Bund2Y_change,3.689620730426016e-4,0.17429051592459271,1.0001711865549163,29985.620226564,24973.714740675747,0.001010694656603268,BVAR-HOMOSKEDASTIC-final,TRUE,TRUE,TRUE
own_lag1__CISS_change,-0.15291073420756776,0.08054593412918688,1.000029227328398,20235.15484206132,25855.740357681927,5.660810956535466e-4,BVAR-HOMOSKEDASTIC-final,TRUE,TRUE,TRUE
own_lag1__GreenEquity_relative,0.028665336177165997,0.07729147579861127,1.0000581242417201,29464.173108948467,29222.020800232054,4.502213815589709e-4,BVAR-HOMOSKEDASTIC-final,TRUE,TRUE,TRUE
own_lag1__GreenBond_relative,0.06559191430063921,0.16454689627929622,1.0001754014492301,25177.630301088775,22622.619171727903,0.0010553633485392768,BVAR-HOMOSKEDASTIC-final,TRUE,TRUE,TRUE
